,f0,f1,f2,f3,f4,f5,y
0,8.0,307.0,3504.0,12.0,70.0,1.0,1
1,8.0,350.0,3693.0,11.5,70.0,1.0,1
2,8.0,318.0,3436.0,11.0,70.0,1.0,1
3,8.0,304.0,3433.0,12.0,70.0,1.0,1
4,8.0,302.0,3449.0,10.5,70.0,1.0,1
5,8.0,429.0,4341.0,10.0,70.0,1.0,1
6,8.0,454.0,4354.0,9.0,70.0,1.0,1
7,8.0,440.0,4312.0,8.5,70.0,1.0,1
8,8.0,455.0,4425.0,10.0,70.0,1.0,1
9,8.0,390.0,3850.0,8.5,70.0,1.0,1
10,8.0,383.0,3563.0,10.0,70.0,1.0,1
11,8.0,340.0,3609.0,8.0,70.0,1.0,1
12,8.0,400.0,3761.0,9.5,70.0,1.0,1
13,8.0,455.0,3086.0,10.0,70.0,1.0,1
14,4.0,113.0,2372.0,15.0,70.0,3.0,1
15,6.0,198.0,2833.0,15.5,70.0,1.0,1
16,6.0,199.0,2774.0,15.5,70.0,1.0,1
17,6.0,200.0,2587.0,16.0,70.0,1.0,1
18,4.0,97.0,2130.0,14.5,70.0,3.0,2
19,4.0,97.0,1835.0,20.5,70.0,2.0,2
20,4.0,110.0,2672.0,17.5,70.0,2.0,2
21,4.0,107.0,2430.0,14.5,70.0,2.0,1
22,4.0,104.0,2375.0,17.5,70.0,2.0,2
23,4.0,121.0,2234.0,12.5,70.0,2.0,2
24,6.0,199.0,2648.0,15.0,70.0,1.0,1
25,8.0,360.0,4615.0,14.0,70.0,1.0,1
26,8.0,307.0,4376.0,15.0,70.0,1.0,1
27,8.0,318.0,4382.0,13.5,70.0,1.0,1
28,8.0,304.0,4732.0,18.5,70.0,1.0,1
29,4.0,97.0,2130.0,14.5,71.0,3.0,2
30,4.0,140.0,2264.0,15.5,71.0,1.0,2
31,4.0,113.0,2228.0,14.0,71.0,3.0,2
32,4.0,98.0,2046.0,19.0,71.0,1.0,2
33,6.0,232.0,2634.0,13.0,71.0,1.0,1
34,6.0,225.0,3439.0,15.5,71.0,1.0,1
35,6.0,250.0,3329.0,15.5,71.0,1.0,1
36,6.0,250.0,3302.0,15.5,71.0,1.0,1
37,6.0,232.0,3288.0,15.5,71.0,1.0,1
38,8.0,350.0,4209.0,12.0,71.0,1.0,1
39,8.0,400.0,4464.0,11.5,71.0,1.0,1
40,8.0,351.0,4154.0,13.5,71.0,1.0,1
41,8.0,318.0,4096.0,13.0,71.0,1.0,1
42,8.0,383.0,4955.0,11.5,71.0,1.0,1
43,8.0,400.0,4746.0,12.0,71.0,1.0,1
