,index,C1,C2,C3,C4,C5,C6,C7,C8,C9,label
0,0.0,1.5178,12.99,3.44,1.16,71.15,0.59,8.21,0.63,0.0,0.0
1,1.0,1.5163,13.0,3.54,1.56,73.05,0.19,8.61,0.0,0.14,0.0
2,2.0,1.5167,13.27,3.67,1.57,73.39,0.65,5.87,0.0,0.07,0.0
3,3.0,1.5175,13.24,0.0,1.08,69.81,0.62,8.38,0.0,0.0,0.0
4,4.0,1.5169,14.14,3.58,1.76,72.84,0.56,8.77,0.0,0.0,0.0
5,5.0,1.5181,13.53,0.0,1.81,72.85,0.38,8.4,0.0,0.0,0.0
6,6.0,1.5197,12.16,3.87,1.71,71.99,0.23,7.94,0.76,0.0,0.0
7,7.0,1.5172,13.99,0.0,1.47,74.55,0.11,8.07,0.27,0.0,0.0
8,8.0,1.5204,12.64,3.7,0.67,72.74,0.04,8.6,0.0,0.0,0.0
9,9.0,1.5169,15.79,3.45,1.23,71.96,0.67,8.67,0.0,0.0,0.0
10,10.0,1.5261,11.45,0.0,1.17,73.36,0.57,8.44,0.0,0.0,0.0
11,11.0,1.5182,13.39,2.39,1.18,72.79,0.68,11.27,0.0,0.0,0.0
12,12.0,1.5159,13.24,3.97,1.3,72.73,0.66,8.44,0.0,0.17,0.0
13,13.0,1.5261,10.73,3.65,1.26,72.69,0.12,8.93,0.0,0.0,0.0
14,14.0,1.5197,12.3,3.89,1.33,72.67,0.48,9.06,0.0,0.0,0.0
15,15.0,1.5182,13.83,3.45,0.67,72.88,0.64,8.38,0.0,0.0,0.0
16,16.0,1.5189,14.85,3.45,1.57,72.67,0.19,11.32,0.0,0.0,0.0
17,17.0,1.5267,13.69,0.0,2.1,72.22,0.06,8.24,0.0,0.09,0.0
18,18.0,1.5182,13.6,3.87,0.77,71.15,0.54,7.83,0.0,0.11,0.0
19,19.0,1.5217,13.56,1.74,1.51,72.89,0.0,8.76,0.0,0.1,0.0
20,20.0,1.5176,13.19,0.0,1.15,71.94,0.04,8.52,0.0,0.24,0.0
21,21.0,1.5173,12.2,3.62,1.16,73.42,0.54,8.28,0.0,0.0,0.0
22,22.0,1.5191,13.21,3.49,1.19,72.96,0.38,10.17,0.0,0.16,0.0
23,23.0,1.5167,13.01,3.33,2.02,72.78,0.58,9.42,0.27,0.24,0.0
24,24.0,1.5187,13.56,0.0,1.22,72.96,0.13,13.24,0.0,0.17,0.0
25,25.0,1.5181,13.48,0.0,0.51,73.08,0.54,8.67,0.0,0.24,0.0
26,26.0,1.516,12.64,3.82,1.22,72.96,0.55,8.48,0.0,0.12,0.0
27,27.0,1.5204,11.45,3.34,0.47,73.24,0.68,8.15,1.68,0.09,0.0
28,28.0,1.5204,13.33,0.0,1.54,71.94,0.53,8.44,0.0,0.0,0.0
29,29.0,1.5157,13.89,3.41,1.52,71.76,0.55,8.38,0.76,0.01,0.0
