,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,label
0,13.72,2.67,2.32,19.5,112.0,1.88,2.64,0.42,1.87,7.1,0.56,4.0,510.0,1.0
1,12.51,2.39,2.75,15.5,123.0,2.6,2.92,0.43,1.98,6.9,1.19,1.51,1310.0,1.0
2,12.21,1.43,2.36,21.0,101.0,2.48,2.43,0.31,1.14,5.58,1.06,1.59,380.0,1.0
3,13.24,1.75,2.86,21.5,94.0,1.38,2.01,0.28,1.87,3.7,1.36,1.68,970.0,1.0
4,12.0,1.52,2.54,20.5,115.0,1.78,2.21,0.24,2.76,5.75,1.04,1.92,920.0,1.0
5,13.73,3.9,2.6,20.0,96.0,1.63,2.86,0.37,1.54,9.9,0.98,1.74,342.0,1.0
6,13.05,3.3,2.56,21.5,119.0,2.2,0.6,0.39,1.35,2.8,0.93,1.69,428.0,1.0
7,12.93,1.07,2.32,28.5,112.0,2.85,1.22,0.28,2.76,4.45,0.84,3.18,415.0,1.0
8,13.5,1.76,2.2,15.5,86.0,1.65,0.51,0.32,2.18,3.9,1.11,3.38,1120.0,1.0
9,12.53,1.1,2.42,18.0,89.0,2.53,2.52,0.47,0.8,1.74,0.96,1.58,1065.0,1.0
10,13.27,1.67,2.78,22.0,86.0,1.72,1.6,0.35,1.77,3.05,0.55,3.07,1045.0,1.0
11,14.16,1.39,2.25,11.4,92.0,2.2,2.21,0.32,2.45,9.7,1.15,2.31,515.0,1.0
12,12.42,3.37,2.48,18.0,84.0,1.79,3.27,0.27,1.71,3.8,1.31,2.57,1080.0,1.0
13,12.99,1.29,2.48,16.8,85.0,1.65,1.25,0.25,1.35,2.76,0.86,2.05,640.0,1.0
14,12.08,0.74,1.98,20.0,97.0,1.8,3.93,0.3,1.14,8.7,1.16,1.6,410.0,1.0
15,13.58,0.98,2.17,22.5,102.0,2.75,2.19,0.29,2.29,2.76,1.07,2.88,1045.0,1.0
16,14.22,3.3,2.6,14.8,102.0,1.68,0.56,0.43,2.03,5.1,0.96,3.21,463.0,1.0
17,12.6,4.28,2.1,18.8,81.0,2.0,0.6,0.2,1.35,4.1,0.69,3.02,718.0,1.0
18,13.56,4.3,2.7,19.5,112.0,1.8,3.75,0.27,3.58,3.9,0.58,3.4,510.0,1.0
19,14.06,4.04,2.16,11.4,80.0,2.1,3.74,0.39,1.4,2.0,0.8,2.96,625.0,1.0
20,12.6,3.03,2.51,22.5,86.0,2.0,1.75,0.41,1.97,2.6,1.04,2.12,845.0,1.0
21,13.41,1.92,2.38,21.0,86.0,1.4,1.1,0.5,1.76,3.93,1.07,3.16,770.0,1.0
22,14.22,1.5,2.46,24.5,136.0,1.95,2.92,0.52,1.97,3.85,1.09,2.82,465.0,1.0
23,13.29,1.68,2.19,21.0,88.0,2.1,0.48,0.52,0.84,2.62,1.01,3.48,710.0,1.0
